"22.04 10:55:03,085|" loop_redakteur hat status: start. 
"22.04 10:55:03,085|" getmsgid hat status: started. 
"22.04 10:55:04,129|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:04,145|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:04,145|" handle_new_id hat status: 1020te Nachricht erstellt. 
"22.04 10:55:04,145|" write_new_message hat status: started. 
"22.04 10:55:04,145|" drop_message hat status: started. 
"22.04 10:55:04,145|" loop_redakteur hat status: start. 
"22.04 10:55:04,145|" getmsgid hat status: started. 
"22.04 10:55:04,831|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:04,847|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:04,847|" handle_new_id hat status: 1043te Nachricht erstellt. 
"22.04 10:55:04,847|" write_new_message hat status: started. 
"22.04 10:55:04,847|" drop_message hat status: started. 
"22.04 10:55:04,847|" loop_redakteur hat status: start. 
"22.04 10:55:04,847|" getmsgid hat status: started. 
"22.04 10:55:05,550|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:05,564|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:05,564|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 1065 'vergessen' zu senden. 
"22.04 10:55:05,564|" calcNewIntervall hat status: started. 
"22.04 10:55:05,564|" calcNewIntervall hat status: New: 0. 
"22.04 10:55:05,564|" calcNewIntervall hat status: Result: 2. 
"22.04 10:55:05,564|" loop_leser hat status: start. 
"22.04 10:55:05,564|" getmessage hat status: started. 
"22.04 10:55:06,516|" loop_leser hat status: Future: false []// Received MessageNummer: 877, Termi: true. 
"22.04 10:55:06,516|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:55:06,516|" loop_redakteur hat status: start. 
"22.04 10:55:06,516|" getmsgid hat status: started. 
"22.04 10:55:07,125|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:07,141|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:07,141|" handle_new_id hat status: 1102te Nachricht erstellt. 
"22.04 10:55:07,141|" write_new_message hat status: started. 
"22.04 10:55:07,141|" drop_message hat status: started. 
"22.04 10:55:07,141|" loop_redakteur hat status: start. 
"22.04 10:55:07,141|" getmsgid hat status: started. 
"22.04 10:55:07,781|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:07,796|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:07,796|" handle_new_id hat status: 1127te Nachricht erstellt. 
"22.04 10:55:07,796|" write_new_message hat status: started. 
"22.04 10:55:07,796|" drop_message hat status: started. 
"22.04 10:55:07,796|" loop_redakteur hat status: start. 
"22.04 10:55:07,796|" getmsgid hat status: started. 
"22.04 10:55:08,327|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:08,342|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:08,342|" handle_new_id hat status: 1149te Nachricht erstellt. 
"22.04 10:55:08,342|" write_new_message hat status: started. 
"22.04 10:55:08,342|" drop_message hat status: started. 
"22.04 10:55:08,358|" loop_redakteur hat status: start. 
"22.04 10:55:08,358|" getmsgid hat status: started. 
"22.04 10:55:09,012|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:09,028|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:09,028|" handle_new_id hat status: 1170te Nachricht erstellt. 
"22.04 10:55:09,028|" write_new_message hat status: started. 
"22.04 10:55:09,028|" drop_message hat status: started. 
"22.04 10:55:09,028|" loop_redakteur hat status: start. 
"22.04 10:55:09,028|" getmsgid hat status: started. 
"22.04 10:55:09,684|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:09,698|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:09,698|" handle_new_id hat status: 1193te Nachricht erstellt. 
"22.04 10:55:09,698|" write_new_message hat status: started. 
"22.04 10:55:09,698|" drop_message hat status: started. 
"22.04 10:55:09,698|" loop_redakteur hat status: start. 
"22.04 10:55:09,698|" getmsgid hat status: started. 
"22.04 10:55:10,620|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:10,636|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:10,636|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 1215 'vergessen' zu senden. 
"22.04 10:55:10,636|" calcNewIntervall hat status: started. 
"22.04 10:55:10,636|" calcNewIntervall hat status: New: 0. 
"22.04 10:55:10,636|" calcNewIntervall hat status: Result: 2. 
"22.04 10:55:10,636|" loop_leser hat status: start. 
"22.04 10:55:10,636|" getmessage hat status: started. 
"22.04 10:55:11,088|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
              [123,["0",44,"0",44,"-1000"],125]]// Received MessageNummer: 0, Termi: true. 
"22.04 10:55:11,088|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:55:11,088|" loop_redakteur hat status: start. 
"22.04 10:55:11,088|" getmsgid hat status: started. 
"22.04 10:55:11,478|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:11,494|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:11,494|" handle_new_id hat status: 1252te Nachricht erstellt. 
"22.04 10:55:11,494|" write_new_message hat status: started. 
"22.04 10:55:11,494|" drop_message hat status: started. 
"22.04 10:55:11,494|" loop_redakteur hat status: start. 
"22.04 10:55:11,494|" getmsgid hat status: started. 
"22.04 10:55:11,603|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:11,617|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:11,617|" handle_new_id hat status: 1278te Nachricht erstellt. 
"22.04 10:55:11,617|" write_new_message hat status: started. 
"22.04 10:55:11,617|" drop_message hat status: started. 
